Country,Disaster Type,Total Deaths,Disaster_Occurred
Canada,Fire (Miscellaneous),228.0,1
China,Water,1000.0,1
India,Storm,300.0,1
Bulgaria,Air,20.0,1
Canada,Collapse (Miscellaneous),13.0,1
United States Of America,Collapse (Miscellaneous),30.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,22.0,1
Germany,Air,27.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,20.0,1
Taiwan (Province Of China),Earthquake,180.0,1
Taiwan (Province Of China),Earthquake,1.0,1
Netherlands (Kingdom Of The),Flood,15.0,1
Soviet Union,Epidemic,2500000.0,1
Indonesia,Earthquake,15000.0,1
Belgium,Air,20.0,1
Japan,Storm,4000.0,1
Jamaica,Storm,57.0,1
Canada,Water,1600.0,1
Guatemala,Earthquake,2650.0,1
Canada,Explosion (Industrial),65.0,1
China,Flood,,1
China,Earthquake,1800.0,1
Germany,Air,23.0,1
Netherlands (Kingdom Of The),Air,21.0,1
Netherlands (Kingdom Of The),Air,24.0,1
Denmark,Air,18.0,1
France,Air,18.0,1
France,Rail,543.0,1
Taiwan (Province Of China),Earthquake,54.0,1
Bangladesh,Epidemic,393000.0,1
United States Of America,Fire (Miscellaneous),38.0,1
United States Of America,Storm,34.0,1
United States Of America,Wildfire,1000.0,1
Puerto Rico,Earthquake,116.0,1
Netherlands (Kingdom Of The),Rail,41.0,1
Philippines,Earthquake,100.0,1
Germany,Air,22.0,1
Canada,Water,343.0,1
Canada,Explosion (Industrial),88.0,1
Canada,Epidemic,50000.0,1
United States Of America,Rail,97.0,1
New Zealand,Epidemic,6700.0,1
China,Earthquake,10000.0,1
Netherlands (Kingdom Of The),Air,19.0,1
United States Of America,Rail,101.0,1
Indonesia,Volcanic activity,5000.0,1
United States Of America,Storm,500.0,1
Bangladesh,Storm,,1
Anguilla,Epidemic,,1
Anguilla,Drought,,1
India,Epidemic,2000000.0,1
India,Epidemic,500000.0,1
Germany Federal Republic,Flood,,1
Japan,Fire (Miscellaneous),40.0,1
China,Earthquake,180000.0,1
Anguilla,Epidemic,,1
Italy,Earthquake,1400.0,1
Belgium,Explosion (Industrial),12.0,1
United States Of America,Storm,243.0,1
Mexico,Earthquake,648.0,1
Albania,Earthquake,200.0,1
Argentina,Earthquake,400.0,1
United Kingdom Of Great Britain And Northern Ireland,Flood,23.0,1
China,Drought,500000.0,1
Cabo Verde,Drought,24000.0,1
China,Water,1000.0,1
Germany,Explosion (Industrial),600.0,1
Anguilla,Epidemic,,1
United Kingdom Of Great Britain And Northern Ireland,Air,44.0,1
Belgium,Explosion (Industrial),21.0,1
Soviet Union,Drought,1200000.0,1
Chile,Earthquake,1000.0,1
Bangladesh,Storm,,1
